FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.413,910,C. F. Richsvej,øst for grøndals parkvej,109 eller 146,4,Frederiksberg Kommune,5258,"0,9",6200,6900,2278,"1,6",2300,2800,,,,,,,,,,,20140513,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/uqJgTfcwRd.pdf,0.89999998,1.60000002,42,,,,,413,POINT (12.503275035597238 55.6869931152719)
trafiktaelling.414,911,Dalgas Boulevard,nord for Roskildevej,4 eller 5,4,Frederiksberg Kommune,6987,"1,5",8200,9200,1817,"2,8",1900,2200,,,,,,,,,,,20140513,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/p0Cm25jSFC.pdf,1.5,2.79999995,92,,,,,414,POINT (12.5066571052462 55.67343969582961)
trafiktaelling.415,912,Nordre Fasanvej,nord for Stæhr Johansens vej,31 eller 34,4,Frederiksberg Kommune,16600,"3,7",19400,21700,6300,2,6500,7700,,,,,,,,,,,20130522,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/vQOVp3qxZR.pdf,3.70000005,2,193,,,,,415,POINT (12.523198418187294 55.68246392741359)
trafiktaelling.416,913,Falkoner Allé,syd for Dronning Olgas Vej,77 eller 108,4,Frederiksberg Kommune,13500,"3,4",15800,17700,8100,2,8300,9900,,,,,,,,,,,20130522,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FedaUPS4Wr.pdf,3.4000001,2,232,,,,,416,POINT (12.54048455865661 55.68698008085218)
trafiktaelling.417,914,Nyelandsvej,vest for Falkoner Allé,3 eller 4B,4,Frederiksberg Kommune,6700,"4,1",7800,8800,5838,"2,7",6000,7100,,,,,,,,,,,20140513,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n0651R1gXM.pdf,4.0999999,2.70000005,146,,,,,417,POINT (12.53340600910265 55.682317166776514)
trafiktaelling.418,931,Sallingvej / Hulgårdsvej,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Xe3V6nVMXc.pdf,,,,,,,,418,POINT (12.510029389909604 55.694690212389716)
trafiktaelling.419,932,Hulgårdsvej / Hvidkildevej,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20090317,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/8BoiFUQXWN.pdf,,,,,,,,419,POINT (12.515772370745005 55.69838655590096)
trafiktaelling.420,933,Vibenshus Runddel,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20160615,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FNnDyZ1GxB.pdf,,,,,,,,420,POINT (12.562893336318151 55.706452281392636)
trafiktaelling.421,934,Nyhavn,vest for Kvæsthusgade (solsiden),65,100,Øvrige tællinger,168,,200,200,592,,600,700,3811,4500,4600,,,,,,,4500,20161011,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/lOWLLW6ldW.pdf,,,,,,,,421,POINT (12.592684067945376 55.679462455143955)
trafiktaelling.422,935,Borups Allé,Borups Allé 43 SØ for Ågade-krydset,43,100,Øvrige tællinger,3800,"5,0",4400,5000,5800,"1,5",6000,7100,,,,,,,,,,,20140429,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/PfZklWnR4w.pdf,5,1.5,,,,,,422,POINT (12.537014103757002 55.692276676662786)
trafiktaelling.423,936,Bragesgade,Bragesgade 10 s.f. Mimersgade,10,100,Øvrige tællinger,800,"0,6",900,1000,700,,700,900,,,,,,,,,,,20140423,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kAhzg7ddZr.pdf,0.60000002,,,,,,,423,POINT (12.544149133836587 55.69978455154478)
trafiktaelling.424,937,Frederikssundsvej,Frederikssundsvej/Lygten/Nordre Fasanvej,-,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20140424,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ej92gN1Pya.pdf,,,,,,,,424,POINT (12.537244283077689 55.7011372777674)
trafiktaelling.425,938,Frederikssundsvej,Frederikssundsvej 50A nv.f. Blytækkervej,50,100,Øvrige tællinger,9500,"7,4",11100,12400,9700,"1,2",10000,11800,,,,,,,,,,,20140429,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/GA5EGQYUj9.pdf,7.4000001,1.20000005,87,,,,,425,POINT (12.531054185830063 55.70277737249803)
trafiktaelling.426,938,Frederikssundsvej,Frederikssundsvej 50A nv.f. Blytækkervej,50,100,Øvrige tællinger,9470,"7,4",11100,12400,9705,"1,2",10000,11800,,,,,,,,,,,20140429,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Z8dYRyFEPi.pdf,7.4000001,1.20000005,87,,,,,426,POINT (12.531054185830063 55.70277737249803)
trafiktaelling.427,939,Lundtoftegade,Syd for Humlebækgade,8,100,Øvrige tællinger,6700,4,7800,8800,2000,"2,1",2100,2400,,,,,,,,,,,20140429,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/MZyHSRLDEF.pdf,4,2.0999999,,,,,,427,POINT (12.53862144479206 55.692219726686794)
trafiktaelling.428,940,Mimersgade,vest for Heimdalsgade,101,100,Øvrige tællinger,5600,"1,4",6600,7300,5400,,5600,6600,,,,,,,,,,,20140423,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Obeb8IHmZW.pdf,1.39999998,,,,,,,428,POINT (12.541777722497743 55.70083818984556)
trafiktaelling.429,941,Mjølnerparken,Mjølnerparken SV for Tagensvej,-,100,Øvrige tællinger,800,0,900,1000,600,,600,700,601,700,700,,,,,,,700,20140617,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/brMSJol0p2.pdf,0,,,,,,,429,POINT (12.542271457424079 55.70599485340371)
trafiktaelling.430,942,Nannasgade,Nannasgade SØ for Hamletsgade,27,100,Øvrige tællinger,2100,"1,7",2500,2800,900,,900,1100,,,,,,,,,,,20140617,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FTCS2eWcvz.pdf,1.70000005,,,,,,,430,POINT (12.545435622613445 55.70119224418396)
trafiktaelling.431,943,Rentemestervej,Rentemestervej 22 SV.f. Frederiksborgvej,22,100,Øvrige tællinger,1700,"0,9",2000,2200,1200,,1200,1500,,,,,,,,,,,20140424,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/jPpqQMeTaI.pdf,0.89999998,,,,,,,431,POINT (12.532621257644525 55.705461108799774)
trafiktaelling.432,944,Rådmandsgade,Rådmansgade 43 sv.f. Tagensvej,43,100,Øvrige tællinger,1300,"1,4",1500,1700,2800,,2900,3400,,,,,,,,,,,20140423,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/lq1m4NiuhU.pdf,1.39999998,,,,,,,432,POINT (12.551511257515706 55.70022803130288)
trafiktaelling.433,945,Thorsgade,Thorsgade 3 NØ.f. Nørrebrogade,3,100,Øvrige tællinger,700,"0,9",800,900,700,,700,900,,,,,,,,,,,20140423,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/mI0GiOEycz.pdf,0.89999998,,,,,,,433,POINT (12.54747665036409 55.69589881480022)
trafiktaelling.434,946,Borgmestervangen,Borgmestervangen 12 n.f. Mimersgade,12,100,Øvrige tællinger,1300,"0,7",1500,1700,1900,,2000,2300,2729,3200,3300,,,,,,,3200,20140617,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/rj9pCM2Wxp.pdf,0.69999999,,,,,,,434,POINT (12.53986095714215 55.70147488148531)
trafiktaelling.435,947,Ægirsgade,Ægirsgade 61 nø.f. Nannasgade,61,100,Øvrige tællinger,400,"1,8",500,500,1100,,1100,1300,,,,,,,,,,,20140617,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/MpVpvoTlNm.pdf,1.79999995,,3,,,,,435,POINT (12.548503830739083 55.70072822829806)
trafiktaelling.436,948,Gothersgade,nordvest for Landemærket,95,100,Øvrige tællinger,,,,,,,,,3863,4500,4700,,,,,,,4500,20130910,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Kqn95Zxxhv.pdf,,,,,,,,436,POINT (12.577205226368289 55.68364261787443)
trafiktaelling.437,949,Sankt Annæ Plads,øst for Bredgade,3,100,Øvrige tællinger,,,,,,,,,4903,5700,5900,,,,,,,5700,20170613,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ekHSB7GWJc.pdf,,,,,,,,437,POINT (12.589407682349822 55.682278016636836)
trafiktaelling.438,950,Sønder Boulevard,nordøst for Dybbølsgade,48,100,Øvrige tællinger,,,,,5100,"3,8",5300,6200,,,,,,,,,,,20140917,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/mo2oJqaXrZ.pdf,,3.79999995,,,,,,438,POINT (12.552967912417131 55.6667241313886)
trafiktaelling.439,951,Sønder Boulevard,øst for Stenderupgade,104,100,Øvrige tællinger,,,,,,,,,1599,1900,1900,,,,,,,1900,20130606,2013,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ldTiptNwbC.pdf,,,,,,,,439,POINT (12.544412898667701 55.66410722817195)
trafiktaelling.440,952,Teglholmsgade / Støberigade,krydset,,101,Krydstællinger,,,,,,,,,,,,,,,,,,,20140205,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Y4Y15oqeeB.pdf,,,,,,,,440,POINT (12.552444361623165 55.65151217511934)
trafiktaelling.441,953,Wildersbro,Wildersbro,-,100,Øvrige tællinger,1910,"2,5",2200,2500,5250,,5400,6400,4113,4800,5000,,,,,,,4800,20160908,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/zgNhe7bCHQ.pdf,2.5,,,,,,,441,POINT (12.592606745038331 55.67573332469584)
trafiktaelling.442,954,Lykkebovej,ø.f. Vigerslevvej,24,3,Andre faste tællinger,4085,"2,3",4800,5400,684,,700,800,,,,,,,,,,,20140514,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/67sG0Y9KNy.pdf,2.29999995,,78,,,,,442,POINT (12.486055942211598 55.65895063231495)
trafiktaelling.443,955,Ørestads Boulevard,Ørestads Boulevard s.f. Njalsgade,-,3,Andre faste tællinger,8340,"2,3",9800,10900,3146,"1,4",3200,3800,,,,,,,,,,,20140410,2014,https://kk.sites.itera.dk/apps/kk_trafik/pdf/lkzIsc3ush.pdf,2.29999995,1.39999998,167,,,,27,443,POINT (12.584942548542676 55.66366473680777)
trafiktaelling.444,956,Engvej,Engvej s.f. Italiensvej,-,3,Andre faste tællinger,2094,"1,4",2400,2700,862,,900,1100,,,,,,,,,,,20140522,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/oUgQMrWKrE.pdf,1.39999998,,23,,,,,444,POINT (12.629718021981416 55.65591448937714)
trafiktaelling.445,957,Gormsgade,NØ for Nørrebrogade,6,3,Andre faste tællinger,2100,"1,7",2500,2800,2700,,2800,3300,,,,,,,,,,,20140903,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/0ypzRaUZs6.pdf,1.70000005,,,,,,,445,POINT (12.546018105191315 55.69718021672687)
trafiktaelling.446,958,Heimdalsgade,NØ for Nørrebrogade,6B,3,Andre faste tællinger,1100,"1,8",1300,1400,400,,400,500,,,,,,,,,,,20140903,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/oWtE3xETkt.pdf,1.79999995,,,,,,,446,POINT (12.541289612473133 55.69997188418353)
trafiktaelling.447,959,Borgmestervangen,NØ for Nørrebrogade,4,3,Andre faste tællinger,3800,"3,6",4400,5000,1500,"2,3",1500,1800,,,,,,,,,,,20140903,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ybt1Z5eqIq.pdf,3.5999999,2.29999995,,,,,,447,POINT (12.539461804889314 55.70081283902996)
trafiktaelling.448,960,Gaunøvej,,10,100,Øvrige tællinger,2400,"15,9",2800,3100,1500,"0,9",1500,1800,,,,,,,,,,,20140917,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/IfJaaRXePY.pdf,15.89999962,0.89999998,,,,,,448,POINT (12.49968235159021 55.69902006355202)
trafiktaelling.449,961,Brønshøjvej,,13,100,Øvrige tællinger,3800,"10,6",4400,5000,1300,"1,9",1300,1600,,,,,,,,,,,20140917,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5ejmmwcR3o.pdf,10.60000038,1.89999998,,,,,,449,POINT (12.497763737970134 55.70236682166451)
trafiktaelling.450,962,Sønder Boulevard,Mellem Valdemarsgade/Skjalm Hvides Gade og Sankelmarksgade/Sigerstedgade,74,100,Øvrige tællinger,,,,,4600,"4,1",4700,5600,,,,,,,,,,,20140917,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CWUAGBzzBX.pdf,,4.0999999,,,,,,450,POINT (12.5493118766377 55.66539469391176)
trafiktaelling.451,963,Istedgade,Mellem Dannebrogsgade og Saxogade,100,100,Øvrige tællinger,4695,"7,1",5500,6200,5397,,5600,6600,,,,,,,,,,,20150924,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/V1UfSakpS4.pdf,7.0999999,,91,,,,,451,POINT (12.552226191055396 55.66884954484462)
trafiktaelling.452,964,Halmtorvet,Mellem Høkerboderne/Eskildsgade og Skelbækgade/Absalonsgade,54,100,Øvrige tællinger,,,,,8400,"2,7",8700,10200,,,,,,,,,,,20140914,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/LA9I78OzVM.pdf,,2.70000005,,,,,,452,POINT (12.556822020207509 55.66858082642893)
